,code,description,icd10cm_code
0,A00,Cholera,A00
1,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",A000
2,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",A001
3,A00.9,"Cholera, unspecified",A009
4,A01,Typhoid and paratyphoid fevers,A01
5,A01.0,Typhoid fever,A010
6,A01.00,"Typhoid fever, unspecified",A0100
7,A01.01,Typhoid meningitis,A0101
8,A01.02,Typhoid fever with heart involvement,A0102
9,A01.03,Typhoid pneumonia,A0103
10,A01.04,Typhoid arthritis,A0104
11,A01.05,Typhoid osteomyelitis,A0105
12,A01.09,Typhoid fever with other complications,A0109
13,A01.1,Paratyphoid fever A,A011
14,A01.2,Paratyphoid fever B,A012
15,A01.3,Paratyphoid fever C,A013
16,A01.4,"Paratyphoid fever, unspecified",A014
17,A02,Other salmonella infections,A02
18,A02.0,Salmonella enteritis,A020
19,A02.1,Salmonella sepsis,A021
20,A02.2,Localized salmonella infections,A022
21,A02.20,"Localized salmonella infection, unspecified",A0220
22,A02.21,Salmonella meningitis,A0221
23,A02.22,Salmonella pneumonia,A0222
24,A02.23,Salmonella arthritis,A0223
25,A02.24,Salmonella osteomyelitis,A0224
26,A02.25,Salmonella pyelonephritis,A0225
27,A02.29,Salmonella with other localized infection,A0229
28,A02.8,Other specified salmonella infections,A028
29,A02.9,"Salmonella infection, unspecified",A029
30,A03,Shigellosis,A03
31,A03.0,Shigellosis due to Shigella dysenteriae,A030
32,A03.1,Shigellosis due to Shigella flexneri,A031
33,A03.2,Shigellosis due to Shigella boydii,A032
34,A03.3,Shigellosis due to Shigella sonnei,A033
35,A03.8,Other shigellosis,A038
36,A03.9,"Shigellosis, unspecified",A039
37,A04,Other bacterial intestinal infections,A04
38,A04.0,Enteropathogenic Escherichia coli infection,A040
39,A04.1,Enterotoxigenic Escherichia coli infection,A041
40,A04.2,Enteroinvasive Escherichia coli infection,A042
41,A04.3,Enterohemorrhagic Escherichia coli infection,A043
42,A04.4,Other intestinal Escherichia coli infections,A044
43,A04.5,Campylobacter enteritis,A045
44,A04.6,Enteritis due to Yersinia enterocolitica,A046
45,A04.7,Enterocolitis due to Clostridium difficile,A047
46,A04.71,"Enterocolitis due to Clostridium difficile, recurrent",A0471
47,A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent",A0472
48,A04.8,Other specified bacterial intestinal infections,A048
49,A04.9,"Bacterial intestinal infection, unspecified",A049
50,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05
51,A05.0,Foodborne staphylococcal intoxication,A050
52,A05.1,Botulism food poisoning,A051
53,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A052
54,A05.3,Foodborne Vibrio parahaemolyticus intoxication,A053
55,A05.4,Foodborne Bacillus cereus intoxication,A054
56,A05.5,Foodborne Vibrio vulnificus intoxication,A055
57,A05.8,Other specified bacterial foodborne intoxications,A058
58,A05.9,"Bacterial foodborne intoxication, unspecified",A059
59,A06,Amebiasis,A06
60,A06.0,Acute amebic dysentery,A060
61,A06.1,Chronic intestinal amebiasis,A061
62,A06.2,Amebic nondysenteric colitis,A062
63,A06.3,Ameboma of intestine,A063
64,A06.4,Amebic liver abscess,A064
65,A06.5,Amebic lung abscess,A065
66,A06.6,Amebic brain abscess,A066
67,A06.7,Cutaneous amebiasis,A067
68,A06.8,Amebic infection of other sites,A068
69,A06.81,Amebic cystitis,A0681
70,A06.82,Other amebic genitourinary infections,A0682
71,A06.89,Other amebic infections,A0689
72,A06.9,"Amebiasis, unspecified",A069
73,A07,Other protozoal intestinal diseases,A07
74,A07.0,Balantidiasis,A070
75,A07.1,Giardiasis [lambliasis],A071
76,A07.2,Cryptosporidiosis,A072
77,A07.3,Isosporiasis,A073
78,A07.4,Cyclosporiasis,A074
79,A07.8,Other specified protozoal intestinal diseases,A078
